cust_id,총구매액,구매건수,평균구매액,최대구매액,구매상품종류1,내점일수,구매주기,봄-구매비율,여름-구매비율,가을-구매비율,겨울-구매비율,환불금액,환불건수,내점당구매액,내점당구매건수,주구매상품,주구매지점,구매 추세 기울기,화장품구매주기,식료품구매액비율,평균식료품구매액분위,고가상품구매율,베스트셀러구매비율,환불비율,스타킹구매건수,고객등급,평일방문비율,평균대비구매비중,주환불상품,남성포함상품구매건수,여성키워드상품구매건수,다양한 매장 방문,가격선호도,라이프 스타일(평균),라이프 스타일(건수),주구매 요일,선호방문계절,선호방문월,행사상품구매수,저가상품구매율,요일 간 구매건수 편차,충동지수,남성용품구매건수,여성용품구매건수,하루 최고 구매 건수,만족도 떨어지는 제품 총 구입금액,만족도 떨어지는 제품 총 구매건수,가성비 제품 총 구입금액,휴면일수,취미용품 구매비율,아동용품 구매건수,명절식품비용,발렌타인,화이트,단독상품군구매율,endmonth,구매액표준편차,중복구매배수,의류_거래율(의류+식품+생활잡화),패션_대비_남성상품_거래율,패션_대비_여성상품_거래율,전체방문_중_환불방문(표준화),월_재방문율,시즌 마감 방문비율,상반기 구매비율,구매 추세,주구매지점재방문률,내점시마다 구매액의 일관성
0,68282840,74,922741,11264000,35,19,17,0.0945945945945946,0.3918918918918919,0.3783783783783784,0.13513513513513514,6860000.0,3.0,3593833.6842105263,3.8947368421052633,기타,강남점,0.97,46.0,0.02521775602772234,2.0,0.24,0.5135135135135135,0.04054054054054054,,3등급고객,0.47297297297297297,47.18187067132708,디자이너부틱,1.0,9.0,2,2.0,화장품,식품,토,fall,10,5.0,0.43,0.33783783783783783,0.05263157894736842,2,7,10,17829000.0,11,62662040.0,7,0.056338028169014086,0.0,0.0,0.0,0.0,0.06756756756756757,0.22904056128889777,2019924.7981346638,2.1142857142857143,0.3111111111111111,0.19230769230769232,0.34615384615384615,1.241951101855759,0.6363636363636364,0.6842105263157895,0.17567567567567569,0.6486486486486487,94.59,19670068126486.426
1,2136000,3,712000,2136000,2,2,1,0.0,0.0,1.0,0.0,300000.0,1.0,1068000.0,1.5,스포츠,잠실점,0.07,,0.0,,0.33,0.0,0.3333333333333333,,신규고객,1.0,1.4759268324802344,아웃도아,,,1,2.0,의류,예체능,목,fall,10,,0.33,0.6666666666666666,0.5,0,0,2,,0,2136000.0,67,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1269185.5656286043,1.5,1.0,1.0,0.0,4.984455875971928,0.0,1.5,0.0,1.0,66.67,589824000000.0
2,3197000,4,799250,1639000,1,2,1,0.0,0.0,0.0,1.0,,,1598500.0,2.0,기타,관악점,-0.15,,0.0,,0.0,0.0,0.0,,신규고객,1.0,2.2090534098498638,,2.0,,1,2.0,남성의류,기타,월,fall,1,,0.5,0.5,0.5,0,0,2,,0,,355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847425.5621193718,4.0,0.0,0.0,0.0,-0.48535879389016523,0.0,0.0,1.0,-1.0,75.0,13225000000.0
3,16077620,44,365400,4935000,24,18,16,0.5909090909090909,0.1590909090909091,0.11363636363636363,0.13636363636363635,,,893201.1111111111,2.4444444444444446,기타,광주점,-0.38,,0.2373168416718395,4.0,0.07,0.5454545454545454,0.0,2.0,3등급고객,0.6818181818181818,11.109265337275687,,,,1,1.0,생활용품,식품,화,spring,3,,0.5,0.18181818181818182,0.05555555555555556,0,3,8,4654000.0,2,9063320.0,17,0.0,2.0,131560.0,0.0,0.0,0.11363636363636363,0.4040025824717838,991730.2501652412,1.8333333333333333,0.10714285714285714,0.0,1.0,-0.48535879389016523,0.7272727272727273,0.8333333333333334,0.75,-0.5,97.73,2298187281087.6543
4,29050000,3,9683333,24000000,2,2,85,0.3333333333333333,0.0,0.6666666666666666,0.0,,,14525000.0,1.5,기타,본  점,0.05,0.0,0.0,,1.0,0.3333333333333333,0.0,,수면고객,1.0,20.072881312523787,,,1.0,1,4.0,명품,기타,수,fall,11,,0.0,0.6666666666666666,0.5,0,1,2,,0,2050000.0,47,0.0,0.0,0.0,0.0,0.0,1.0,0.07056798623063683,12407692.506398333,1.5,0.0,0.0,1.0,-0.48535879389016523,0.0,0.5,0.3333333333333333,0.3333333333333333,66.67,155625625000000.0
5,11379000,5,2275800,9552000,4,3,42,0.4,0.0,0.0,0.6,462000.0,1.0,3793000.0,1.6666666666666667,디자이너,일산점,-0.14,,0.0,,0.6,0.8,0.2,,수면고객,0.8,7.86262707246844,디자이너부틱,,1.0,2,3.0,명품,명품,금,fall,1,,0.2,0.6,0.3333333333333333,0,2,3,9488000.0,3,9579000.0,226,0.0,0.0,0.0,0.0,0.0,0.4,-0.040601107302926445,4152243.514053577,1.25,0.5,0.0,0.0,3.1611843193512303,0.0,0.0,1.0,-1.0,40.0,20371526000000.0
6,10056000,12,838000,7612000,6,5,42,0.0,0.16666666666666666,0.0,0.8333333333333334,4582000.0,3.0,2011200.0,2.4,시티웨어,강남점,-0.36,,0.0,,0.5,0.4166666666666667,0.25,,수면고객,0.6666666666666666,6.948464525946272,시티웨어,,1.0,1,2.0,의류,의류,토,fall,1,,0.33,0.3333333333333333,0.2,0,1,4,7040000.0,6,7040000.0,150,0.0,2.0,0.0,0.0,0.0,0.25,-0.016308671439936355,2546580.595086817,2.0,0.8333333333333334,0.3333333333333333,0.1111111111111111,3.89049294199951,0.0,0.6,0.8333333333333334,-0.6666666666666667,91.67,11095106560000.0
7,514570080,166,3099820,27104000,76,63,5,0.25903614457831325,0.3313253012048193,0.23493975903614459,0.1746987951807229,29524000.0,4.0,8167779.047619048,2.634920634920635,명품,본  점,0.11,22.0,0.03321250236702453,5.0,0.53,0.35542168674698793,0.024096385542168676,,1등급고객,0.7771084337349398,355.5560806477064,명품잡화,,31.0,2,3.0,가전,명품,금,fall,6,1.0,0.11,0.24096385542168672,0.015873015873015872,9,24,12,,0,218428430.0,5,0.06790123456790123,5.0,3312000.0,0.0,0.0,0.03614457831325301,0.35707692137871677,5275327.750435292,2.1842105263157894,0.29310344827586204,0.14942528735632185,0.3448275862068966,0.20922084672724345,1.0,0.7301587301587301,0.572289156626506,-0.14457831325301207,69.28,101710393780646.78
8,688243360,107,6432181,173088000,53,18,15,0.205607476635514,0.4205607476635514,0.07476635514018691,0.29906542056074764,,,38235742.222222224,5.944444444444445,기타,본  점,-1.18,42.0,0.0022391498263056252,2.0,0.29,0.38317757009345793,0.0,1.0,2.5등급고객,0.5887850467289719,475.5603194290045,,1.0,8.0,5,4.0,명품,의류,화,summer,7,2.0,0.34,0.22429906542056074,0.05555555555555556,3,15,14,304627000.0,6,525002660.0,79,0.028037383177570093,9.0,0.0,0.0,0.0,0.08411214953271028,0.3610572574212703,20429435.18488308,2.018867924528302,0.4897959183673469,0.15625,0.40625,-0.48535879389016523,0.6363636363636364,3.611111111111111,0.6074766355140186,-0.21495327102803735,60.75,2235309505029195.0
9,26640850,12,2220071,13728000,9,1,0,0.0,0.0,0.0,1.0,,,26640850.0,12.0,농산물,대전점,-0.46,,0.011583714483584421,1.0,0.25,0.6666666666666666,0.0,,2.5등급고객,1.0,18.40821411754731,,1.0,,1,3.0,의류,식품,목,fall,1,,0.67,1.0,1.0,1,0,12,,0,14037850.0,354,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4988112.104724516,1.3333333333333333,0.2222222222222222,0.5,0.0,-0.48535879389016523,0.0,0.0,1.0,-1.0,91.67,0.0
10,245110760,53,4624731,67275000,34,25,13,0.3018867924528302,0.18867924528301888,0.22641509433962265,0.2830188679245283,22484000.0,2.0,9804430.4,2.12,디자이너,부산본점,-0.44,42.0,0.0013635060329460853,1.0,0.49,0.33962264150943394,0.03773584905660377,,2등급고객,0.7735849056603774,169.36589307753883,소품가구,1.0,9.0,1,3.0,남성의류,명품,목,fall,3,,0.26,0.1320754716981132,0.04,7,16,6,67275000.0,1,156286160.0,18,0.13725490196078433,1.0,0.0,0.0,0.0,0.16981132075471697,0.5805555415029515,12322533.30016944,1.5588235294117647,0.32,0.36363636363636365,0.4090909090909091,0.3898115532877698,1.0,0.52,0.5849056603773585,-0.16981132075471694,98.11,319926084486347.75
11,24467500,6,4077917,10575000,4,3,89,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666,,,8155833.333333333,2.0,화장품,본  점,-0.03,101.0,0.19413507714314907,5.0,0.83,0.3333333333333333,0.0,,수면고객,0.16666666666666666,16.906479294808115,,,3.0,1,3.0,화장품,기타,토,spring,3,,0.17,0.8333333333333334,0.3333333333333333,1,1,4,,0,24467500.0,14,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5677940124655155,4264951.470024795,1.5,1.0,0.0,1.0,-0.48535879389016523,0.0,1.3333333333333333,0.6666666666666666,-0.3333333333333333,83.33,21803318055555.56
